ID,PATH,NAME
CenVac-1-E,[default]SPG/Liquid and Dust Collection/Central Vacuum/C9DC_02/C9DC_02_PDH_0808/ALM/Equip_Description,Filter Receiver
CenVac-2-E,[default]SPG/Liquid and Dust Collection/Central Vacuum/C9DC_02/C9DC_02_BS_0808/ALM/Equip_Description,Filter Receiver
CenVac-3-E,[default]SPG/Liquid and Dust Collection/Central Vacuum/C9DC_02/C9DC_02_LSH_0814/ALM/Equip_Description,Filter Receiver
CenVac-4-E,[default]SPG/Liquid and Dust Collection/Central Vacuum/C9MV_02/C9MV_02_YE_0830/ALM/Equip_Description,Filter Receiver Discharge Airlock
CenVac-5-E,[default]SPG/Liquid and Dust Collection/Central Vacuum/C9C_04/C9C_04_VSH_0802/ALM/Equip_Description,Vacuum Blower
CenVac-6-E,[default]SPG/Liquid and Dust Collection/Central Vacuum/C9C_04/C9C_04_YE_0829/ALM/Equip_Description,Vacuum Blower
Dust_Coll-1-E,[default]SPG/Liquid and Dust Collection/Dust Collection/C9C_05/C9C_05_YE_0826/ALM/Equip_Description,Pulse Blower
Dust_Coll-2-E,[default]SPG/Liquid and Dust Collection/Dust Collection/C9DC_01/C9DC_01_YE_0827/ALM/Equip_Description,MCF Filter Arm Drive
Dust_Coll-3-E,[default]SPG/Liquid and Dust Collection/Dust Collection/C9DC_01/C9DC_01_PDHH_0807/ALM/Equip_Description,MCF Filter
Dust_Coll-4-E,[default]SPG/Liquid and Dust Collection/Dust Collection/C9DC_01/C9DC_01_PDH_0807/ALM/Equip_Description,MCF Filter
Dust_Coll-5-E,[default]SPG/Liquid and Dust Collection/Dust Collection/C9MV_01/C9MV_01_YE_0828/ALM/Equip_Description,MCF Filter Discharge Airlock
Dust_Coll-6-E,[default]SPG/Liquid and Dust Collection/Dust Collection/C9EIV_01/C9EIV_01_ZZ_0810/ALM/Equip_Description,MCF Filter Explosion Isolation Valve
Dust_Coll-7-E,[default]SPG/Liquid and Dust Collection/Dust Collection/C9C_03/C9C_03_YE_0825/ALM/Equip_Description,Fan
Dust_Coll-8-E,[default]SPG/Liquid and Dust Collection/Dust Collection/C9DC_01/C9DC_01_LSH_0811/ALM/Equip_Description,MCF Filter
Dust_Coll-9-E,[default]SPG/Liquid and Dust Collection/Dust Collection/C9DC_01/C9DC_01_BS_0803/ALM/Equip_Description,MCF Filter
Dust_Coll-10-E,[default]SPG/Liquid and Dust Collection/Dust Collection/C9DC_01/C9DC_01_BS_0804/ALM/Equip_Description,MCF Filter
Dust_Coll-11-E,[default]SPG/Liquid and Dust Collection/Dust Collection/C9DC_01/C9DC_01_BS_0805/ALM/Equip_Description,MCF Filter
Dust_Coll-12-E,[default]SPG/Liquid and Dust Collection/Dust Collection/C9CP_05/C9CP_05_JL_01/ALM/Equip_Description,
Dust_Coll-13-E,[default]SPG/Liquid and Dust Collection/Dust Collection/C9CP_05/C9CP_05_HBS_01/ALM/Equip_Description,
Line1_Fib-1-E,[default]SPG/Line 1/Fiberglass/L1BF_06/L1BF_06_PDHH_0506/ALM/Equip_Description,Fiberglass Receiver 6
Line1_Fib-2-E,[default]SPG/Line 1/Fiberglass/L1PX_02/L1PX_02_YE_0522/ALM/Equip_Description,Fiberglass Receiver 6 Bin Activator
Line1_Fib-3-E,[default]SPG/Line 1/Fiberglass/L1SF_01/L1SF_01_VFD_01/COMM/Fault/ALM/Equip_Description,Fiberglass Twin Screw 1 VFD 1
Line1_Fib-4-E,[default]SPG/Line 1/Fiberglass/L1C_02/L1C_02_HS_0631/ALM/Equip_Description,Fiberglass Vacuum Blower
Line1_Fib-5-E,[default]SPG/Line 1/Fiberglass/L1C_02/L1C_02_VSH_0603/ALM/Equip_Description,Fiberglass Vacuum Blower
Line1_Fib-6-E,[default]SPG/Line 1/L1CP_01/L1CP_01_HBS_01/ALM/Equip_Description,PLC and IO Panel
Line1_Fib-7-E,[default]SPG/Line 1/Fiberglass/L1SF_01/L1SF_01_VFD_01/MCY/ALM/Equip_Description,Fiberglass Twin Screw 1 VFD 1
Line1_Fib-8-E,[default]SPG/Line 1/Fiberglass/L1LIW_05/L1LIW_05_VFD_02/MCY/ALM/Equip_Description,Fiberglass LIW Feeder 5 Agitator
Line1_Fib-9-E,[default]SPG/Line 1/Fiberglass/L1LIW_05/L1LIW_05_VFD_02/VFD_FLT/Fault/ALM/Equip_Description,Fiberglass LIW Feeder 5 Agitator
Line1_Fib-10-E,[default]SPG/Line 1/Fiberglass/L1LIW_05/L1LIW_05_VFD_02/COMM/Fault/ALM/Equip_Description,Fiberglass LIW Feeder 5 Agitator
Line1_Fib-11-E,[default]SPG/Line 1/Fiberglass/L1D_04/L1D_04_LSL_0504/ALM/Equip_Description,Fiberglass BBU Work Bin
Line1_Fib-12-E,[default]SPG/Line 1/Fiberglass/L1LIW_05/L1LIW_05_VFD_01/VFD_FLT/Fault/ALM/Equip_Description,Fiberglass LIW Feeder 5 Helix
Line1_Fib-13-E,[default]SPG/Line 1/Fiberglass/L1LIW_05/L1LIW_05_VFD_01/MCY/ALM/Equip_Description,Fiberglass LIW Feeder 5 Helix
Line1_Fib-14-E,[default]SPG/Line 1/Fiberglass/L1LIW_05/L1LIW_05_VFD_01/COMM/Fault/ALM/Equip_Description,Fiberglass LIW Feeder 5 Helix
Line1_Fib-15-E,[default]SPG/Line 1/Fiberglass/L1LIW_05/L1LIW_05_HS_05109/ALM/Equip_Description,Fiberglass LIW Feeder 5 Agitator
Line1_Fib-16-E,[default]SPG/Line 1/Fiberglass/L1LIW_05/L1LIW_05_HS_0529/ALM/Equip_Description,Fiberglass LIW Feeder 5 Helix
Line1_Fib-17-E,[default]SPG/Line 1/Fiberglass/L1LIW_06/L1LIW_06_HS_0530/ALM/Equip_Description,Fiberglass LIW Feeder 6 Helix
Line1_Fib-18-E,[default]SPG/Line 1/Fiberglass/L1LIW_06/L1LIW_06_HS_05110/ALM/Equip_Description,Fiberglass LIW Feeder 6 Agitator
Line1_Fib-19-E,[default]SPG/Line 1/Fiberglass/L1LIW_06/L1LIW_06_VFD_01/VFD_FLT/Fault/ALM/Equip_Description,Fiberglass LIW Feeder 6 Helix
Line1_Fib-20-E,[default]SPG/Line 1/Fiberglass/L1LIW_06/L1LIW_06_VFD_01/COMM/Fault/ALM/Equip_Description,Fiberglass LIW Feeder 6 Helix
Line1_Fib-21-E,[default]SPG/Line 1/Fiberglass/L1LIW_06/L1LIW_06_VFD_01/MCY/ALM/Equip_Description,Fiberglass LIW Feeder 6 Helix
Line1_Fib-22-E,[default]SPG/Line 1/Fiberglass/L1D_04/L1D_04_LSH_0508/ALM/Equip_Description,Fiberglass BBU Work Bin
Line1_Fib-23-E,[default]SPG/Line 1/Fiberglass/L1LIW_06/L1LIW_06_VFD_02/VFD_FLT/Fault/ALM/Equip_Description,Fiberglass LIW Feeder 6 Agitator
Line1_Fib-24-E,[default]SPG/Line 1/Fiberglass/L1LIW_06/L1LIW_06_VFD_02/COMM/Fault/ALM/Equip_Description,Fiberglass LIW Feeder 6 Agitator
Line1_Fib-25-E,[default]SPG/Line 1/Fiberglass/L1LIW_06/L1LIW_06_VFD_02/MCY/ALM/Equip_Description,Fiberglass LIW Feeder 6 Agitator
Line1_Fib-26-E,[default]SPG/Line 1/Fiberglass/L1SF_01/L1SF_01_VFD_01/VFD_FLT/Fault/ALM/Equip_Description,Fiberglass Twin Screw 1 VFD 1
Line1_Fib-27-E,[default]SPG/Line 1/Fiberglass/L1SF_01/L1SF_01_VFD_02/MCY/ALM/Equip_Description,Fiberglass Twin Screw 1 VFD 2
