ID,Sub Tag Path,FIELD <Equip_Description>
Line1_Liquid_1,[default]SPG/Line 1/Mixer/SYS_7_GIW/HR/Equip_Description,Line 1 Liquid Scale
Line1_Liquid_2,[default]SPG/Line 1/Mixer/SYS_7_GIW/LR/Equip_Description,Line 1 Liquid Scale
Line1_Liquid_3,[default]SPG/Line 1/Mixer/SYS_7_GIW/OC/Equip_Description,Line 1 Liquid Scale
Line1_Liquid_4,[default]SPG/Line 1/Mixer/SYS_7_GIW/OT/Equip_Description,Line 1 Liquid Scale
Line1_Liquid_5,[default]SPG/Line 1/Mixer/SYS_7_GIW/SD/Equip_Description,Line 1 Liquid Scale
Line1_Liquid_6,[default]SPG/Line 1/Mixer/SYS_7_GIW/SE/Equip_Description,Line 1 Liquid Scale
Line1_Liquid_7,[default]SPG/Line 1/Mixer/SYS_7_GIW/SF/Equip_Description,Line 1 Liquid Scale
Line1_Liquid_8,[default]SPG/Line 1/Mixer/SYS_7_GIW/SS/Equip_Description,Line 1 Liquid Scale
Line1_Liquid_9,[default]SPG/Line 1/Mixer/SYS_7_GIW/UT/Equip_Description,Line 1 Liquid Scale
Line1_Liquid_10,[default]SPG/Line 1/Mixer/SYS_7_GIW/ZT/Equip_Description,Line 1 Liquid Scale
Line1_Liquid_11,[default]SPG/Line 1/Mixer/SYS_7_GIW3/HR/Equip_Description,Line 1 GIW FROM TOTE 2
Line1_Liquid_12,[default]SPG/Line 1/Mixer/SYS_7_GIW3/LR/Equip_Description,Line 1 GIW FROM TOTE 2
Line1_Liquid_13,[default]SPG/Line 1/Mixer/SYS_7_GIW3/OC/Equip_Description,Line 1 GIW FROM TOTE 2
Line1_Liquid_14,[default]SPG/Line 1/Mixer/SYS_7_GIW3/OT/Equip_Description,Line 1 GIW FROM TOTE 2
Line1_Liquid_15,[default]SPG/Line 1/Mixer/SYS_7_GIW3/SD/Equip_Description,Line 1 GIW FROM TOTE 2
Line1_Liquid_16,[default]SPG/Line 1/Mixer/SYS_7_GIW3/SE/Equip_Description,Line 1 GIW FROM TOTE 2
Line1_Liquid_17,[default]SPG/Line 1/Mixer/SYS_7_GIW3/SF/Equip_Description,Line 1 GIW FROM TOTE 2
Line1_Liquid_18,[default]SPG/Line 1/Mixer/SYS_7_GIW3/SS/Equip_Description,Line 1 GIW FROM TOTE 2
Line1_Liquid_19,[default]SPG/Line 1/Mixer/SYS_7_GIW3/UT/Equip_Description,Line 1 GIW FROM TOTE 2
Line1_Liquid_20,[default]SPG/Line 1/Mixer/SYS_7_GIW3/ZT/Equip_Description,Line 1 GIW FROM TOTE 2
Line1_Liquid_21,[default]SPG/Line 1/Mixer/SYS_7_GIW2/HR/Equip_Description,Line 1 GIW FROM TOTE 1
Line1_Liquid_22,[default]SPG/Line 1/Mixer/SYS_7_GIW2/LR/Equip_Description,Line 1 GIW FROM TOTE 1
Line1_Liquid_23,[default]SPG/Line 1/Mixer/SYS_7_GIW2/OC/Equip_Description,Line 1 GIW FROM TOTE 1
Line1_Liquid_24,[default]SPG/Line 1/Mixer/SYS_7_GIW2/OT/Equip_Description,Line 1 GIW FROM TOTE 1
Line1_Liquid_25,[default]SPG/Line 1/Mixer/SYS_7_GIW2/SD/Equip_Description,Line 1 GIW FROM TOTE 1
Line1_Liquid_26,[default]SPG/Line 1/Mixer/SYS_7_GIW2/SE/Equip_Description,Line 1 GIW FROM TOTE 1
Line1_Liquid_27,[default]SPG/Line 1/Mixer/SYS_7_GIW2/SF/Equip_Description,Line 1 GIW FROM TOTE 1
Line1_Liquid_28,[default]SPG/Line 1/Mixer/SYS_7_GIW2/SS/Equip_Description,Line 1 GIW FROM TOTE 1
Line1_Liquid_29,[default]SPG/Line 1/Mixer/SYS_7_GIW2/UT/Equip_Description,Line 1 GIW FROM TOTE 1
Line1_Liquid_30,[default]SPG/Line 1/Mixer/SYS_7_GIW2/ZT/Equip_Description,Line 1 GIW FROM TOTE 1
