,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B
0,[0],10,5,1,100,80,255,0,0,1.0375,1.0375,1.0375
1,[0],10,5,1,100,80,255,0,1,0.2375,1.275,2.3125
2,[0],10,5,1,100,80,255,0,2,0.2,1.475,3.7875
3,[0],10,5,1,100,80,255,0,3,0.25,1.725,5.5125
4,[0],10,5,1,100,80,255,0,4,0.4,2.125,7.6375
5,[0],10,5,1,100,80,255,1,0,0.675,2.8,10.4375
6,[0],10,5,1,100,80,255,1,1,0.275,3.075,13.5125
7,[0],10,5,1,100,80,255,1,2,0.9,3.975,17.4875
8,[0],10,5,1,100,80,255,1,3,0.45,4.425,21.9125
9,[0],10,5,1,100,80,255,1,4,0.025,4.45,26.3625
10,[0],10,5,1,100,80,255,2,0,1.0875,5.5375,31.9
11,[0],10,5,1,100,80,255,2,1,0.55,6.0875,37.9875
12,[0],10,5,1,100,80,255,2,2,0.1125,6.2,44.1875
13,[0],10,5,1,100,80,255,2,3,1.225,7.425,51.6125
14,[0],10,5,1,100,80,255,2,4,0.225,7.65,59.2625
15,[0],10,5,1,100,80,255,3,0,0.2375,7.8875,67.15
16,[0],10,5,1,100,80,255,3,1,0.5625,8.45,75.6
17,[0],10,5,1,100,80,255,3,2,0.2375,8.6875,84.2875
18,[0],10,5,1,100,80,255,3,3,0.5125,9.2,93.4875
19,[0],10,5,1,100,80,255,3,4,0.8125,10.0125,103.5
20,[0],10,5,1,100,80,255,4,0,0.6,10.6125,114.1125
21,[0],10,5,1,100,80,255,4,1,0.5875,11.2,125.3125
22,[0],10,5,1,100,80,255,4,2,0.6125,11.8125,137.125
23,[0],10,5,1,100,80,255,4,3,0.2875,12.1,149.225
24,[0],10,5,1,100,80,255,4,4,0.5375,12.6375,161.8625
25,[0],10,5,1,100,80,255,5,0,0.65,13.2875,175.15
26,[0],10,5,1,100,80,255,5,1,0.95,14.2375,189.3875
27,[0],10,5,1,100,80,255,5,2,1.1375,15.375,204.7625
28,[0],10,5,1,100,80,255,5,3,0.825,16.2,220.9625
29,[0],10,5,1,100,80,255,5,4,1.075,17.275,238.2375
30,[0],10,5,1,100,80,255,6,0,0.9875,18.2625,256.5
31,[0],10,5,1,100,80,255,6,1,0.7625,19.025,275.525
32,[0],10,5,1,100,80,255,6,2,0.0875,19.1125,294.6375
33,[0],10,5,1,100,80,255,6,3,1.1,20.2125,314.85
34,[0],10,5,1,100,80,255,6,4,0.6375,20.85,335.7
35,[0],10,5,1,100,80,255,7,0,0.55,21.4,357.1
36,[0],10,5,1,100,80,255,7,1,0.0625,21.4625,378.5625
37,[0],10,5,1,100,80,255,7,2,0.1375,21.6,400.1625
38,[0],10,5,1,100,80,255,7,3,0.3875,21.9875,422.15
39,[0],10,5,1,100,80,255,7,4,1.0375,23.025,445.175
40,[0],10,5,1,100,80,255,8,0,0.775,23.8,468.975
41,[0],10,5,1,100,80,255,8,1,1.025,24.825,493.8
42,[0],10,5,1,100,80,255,8,2,0.175,25.0,518.8
43,[0],10,5,1,100,80,255,8,3,0.4,25.4,544.2
44,[0],10,5,1,100,80,255,8,4,0.2125,25.6125,569.8125
45,[0],10,5,1,100,80,255,9,0,0.0125,25.625,595.4375
46,[0],10,5,1,100,80,255,9,1,0.325,25.95,621.3875
47,[0],10,5,1,100,80,255,9,2,0.9125,26.8625,648.25
48,[0],10,5,1,100,80,255,9,3,0.6375,27.5,675.75
49,[0],10,5,1,100,80,255,9,4,0.05,27.55,703.3
