,INDEX_Results,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,255,5,10,1.1875,3.0125,8.675,3.0125,8.675,[0]
1,[0],10,5,1,100,80,255,5,10,0.075,5.9625,32.5625,5.9625,32.5625,[0]
2,[0],10,5,1,100,80,255,5,10,0.6125,8.65,71.8625,8.65,71.8625,[0]
3,[0],10,5,1,100,80,255,5,10,0.4875,11.875,123.325,11.875,43.325,[0]
4,[0],10,5,1,100,80,255,5,10,0.0875,14.4125,190.875,14.4125,30.875,[0]
5,[0],10,5,1,100,80,255,5,10,0.3625,15.8625,266.8125,15.8625,26.8125,[0]
6,[0],10,5,1,100,80,255,5,10,0.55,19.4625,355.85,19.4625,35.85,[0]
7,[0],10,5,1,100,80,255,5,10,0.2375,21.2375,459.125,21.2375,59.125,[0]
8,[0],10,5,1,100,80,255,5,10,0.5875,24.575,574.175,24.575,14.175,[0]
9,[0],10,5,1,100,80,255,5,10,0.75,27.3875,703.6375,27.3875,63.6375,[0]
