,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,355,0,0,0.6,0.6,0.6,[0],[0],[0],[0],[0],[0],[0],[0]
1,[0],10,5,1,100,80,355,0,1,0.1375,0.7375,1.3375,[0],[0],[0],[0],[0],[0],[0],[0]
2,[0],10,5,1,100,80,355,0,2,0.2375,0.975,2.3125,[0],[0],[0],[0],[0],[0],[0],[0]
3,[0],10,5,1,100,80,355,0,3,0.525,1.5,3.8125,[0],[0],[0],[0],[0],[0],[0],[0]
4,[0],10,5,1,100,80,355,0,4,0.3375,1.8375,5.65,[0],[0],[0],[0],[0],[0],[0],[0]
5,[0],10,5,1,100,80,355,1,0,0.5625,2.4,8.05,[0],[0],[0],[0],[0],[0],[0],[0]
6,[0],10,5,1,100,80,355,1,1,0.025,2.425,10.475,[0],[0],[0],[0],[0],[0],[0],[0]
7,[0],10,5,1,100,80,355,1,2,1.125,3.55,14.025,[0],[0],[0],[0],[0],[0],[0],[0]
8,[0],10,5,1,100,80,355,1,3,0.5875,4.1375,18.1625,[0],[0],[0],[0],[0],[0],[0],[0]
9,[0],10,5,1,100,80,355,1,4,0.375,4.5125,22.675,[0],[0],[0],[0],[0],[0],[0],[0]
10,[0],10,5,1,100,80,355,2,0,0.2125,4.725,27.4,[0],[0],[0],[0],[0],[0],[0],[0]
11,[0],10,5,1,100,80,355,2,1,0.725,5.45,32.85,[0],[0],[0],[0],[0],[0],[0],[0]
12,[0],10,5,1,100,80,355,2,2,0.8625,6.3125,39.1625,[0],[0],[0],[0],[0],[0],[0],[0]
13,[0],10,5,1,100,80,355,2,3,0.5125,6.825,45.9875,[0],[0],[0],[0],[0],[0],[0],[0]
14,[0],10,5,1,100,80,355,2,4,0.3,7.125,53.1125,[0],[0],[0],[0],[0],[0],[0],[0]
