,INDEX_Results,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B
0,[0],10,5,1,100,80,255,0,0,0.5125,0.5125,0.5125
1,[0],10,5,1,100,80,255,0,1,0.1875,0.7,1.2125
2,[0],10,5,1,100,80,255,0,2,0.375,1.075,2.2875
3,[0],10,5,1,100,80,255,0,3,0.4625,1.5375,3.825
4,[0],10,5,1,100,80,255,0,4,0.6625,2.2,6.025
5,[0],10,5,1,100,80,255,1,0,0.6625,2.8625,8.8875
6,[0],10,5,1,100,80,255,1,1,0.2,3.0625,11.95
7,[0],10,5,1,100,80,255,1,2,0.125,3.1875,15.1375
8,[0],10,5,1,100,80,255,1,3,0.25,3.4375,18.575
9,[0],10,5,1,100,80,255,1,4,0.925,4.3625,22.9375
10,[0],10,5,1,100,80,255,2,0,0.3875,4.75,27.6875
11,[0],10,5,1,100,80,255,2,1,0.6,5.35,33.0375
12,[0],10,5,1,100,80,255,2,2,0.825,6.175,39.2125
13,[0],10,5,1,100,80,255,2,3,0.4,6.575,45.7875
14,[0],10,5,1,100,80,255,2,4,1.2125,7.7875,53.575
15,[0],10,5,1,100,80,255,3,0,0.35,8.1375,61.7125
16,[0],10,5,1,100,80,255,3,1,0.65,8.7875,70.5
17,[0],10,5,1,100,80,255,3,2,0.575,9.3625,79.8625
18,[0],10,5,1,100,80,255,3,3,0.4625,9.825,89.6875
19,[0],10,5,1,100,80,255,3,4,1.2,11.025,100.7125
20,[0],10,5,1,100,80,255,4,0,0.5875,11.6125,112.325
21,[0],10,5,1,100,80,255,4,1,0.2875,11.9,124.225
22,[0],10,5,1,100,80,255,4,2,0.75,12.65,136.875
23,[0],10,5,1,100,80,255,4,3,1.1125,13.7625,150.6375
24,[0],10,5,1,100,80,255,4,4,0.675,14.4375,165.075
25,[0],10,5,1,100,80,255,5,0,1.05,15.4875,180.5625
26,[0],10,5,1,100,80,255,5,1,0.6125,16.1,196.6625
27,[0],10,5,1,100,80,255,5,2,0.825,16.925,213.5875
28,[0],10,5,1,100,80,255,5,3,0.9625,17.8875,231.475
29,[0],10,5,1,100,80,255,5,4,0.6625,18.55,250.025
30,[0],10,5,1,100,80,255,6,0,0.8125,19.3625,269.3875
31,[0],10,5,1,100,80,255,6,1,0.625,19.9875,289.375
32,[0],10,5,1,100,80,255,6,2,0.3,20.2875,309.6625
33,[0],10,5,1,100,80,255,6,3,0.2125,20.5,330.1625
34,[0],10,5,1,100,80,255,6,4,0.6,21.1,351.2625
35,[0],10,5,1,100,80,255,7,0,0.075,21.175,372.4375
36,[0],10,5,1,100,80,255,7,1,0.625,21.8,394.2375
37,[0],10,5,1,100,80,255,7,2,1.225,23.025,417.2625
38,[0],10,5,1,100,80,255,7,3,0.375,23.4,440.6625
39,[0],10,5,1,100,80,255,7,4,0.4,23.8,464.4625
40,[0],10,5,1,100,80,255,8,0,1.1375,24.9375,489.4
41,[0],10,5,1,100,80,255,8,1,0.8125,25.75,515.15
42,[0],10,5,1,100,80,255,8,2,0.2125,25.9625,541.1125
43,[0],10,5,1,100,80,255,8,3,0.8125,26.775,567.8875
44,[0],10,5,1,100,80,255,8,4,0.85,27.625,595.5125
45,[0],10,5,1,100,80,255,9,0,0.925,28.55,624.0625
46,[0],10,5,1,100,80,255,9,1,1.025,29.575,653.6375
47,[0],10,5,1,100,80,255,9,2,0.65,30.225,683.8625
48,[0],10,5,1,100,80,255,9,3,0.725,30.95,714.8125
49,[0],10,5,1,100,80,255,9,4,0.5125,31.4625,746.275
