,INDEX_Results,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,255,5,10,0.75,2.9625,8.775,2.9625,8.775,[0]
1,[0],10,5,1,100,80,255,5,10,0.725,5.65,30.125,5.65,30.125,[0]
2,[0],10,5,1,100,80,255,5,10,0.4125,10.15,72.4125,10.15,72.4125,[0]
3,[0],10,5,1,100,80,255,5,10,0.4,13.2125,133.5375,13.2125,53.5375,[0]
4,[0],10,5,1,100,80,255,5,10,0.3375,16.65,211.0125,16.65,51.0125,[0]
5,[0],10,5,1,100,80,255,5,10,0.3875,18.425,300.075,18.425,60.075,[0]
6,[0],10,5,1,100,80,255,5,10,0.4375,21.325,401.4125,21.325,1.4125,[0]
7,[0],10,5,1,100,80,255,5,10,1.0375,25.7875,519.475,25.7875,39.475,[0]
8,[0],10,5,1,100,80,255,5,10,0.5875,29.3625,660.8375,29.3625,20.8375,[0]
9,[0],10,5,1,100,80,255,5,10,0.1,30.9125,812.725,30.9125,12.725,[0]
