,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.125,2.85,9.375,2.85,9.375,[0]
1,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.375,6.1,35.075,6.1,35.075,[0]
2,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.8,9.4625,76.3125,9.4625,76.3125,[0]
3,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,1.2125,14.075,135.8875,14.075,55.8875,[0]
4,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.1875,15.975,213.75,15.975,53.75,[0]
5,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.7125,19.2,304.7125,19.2,64.7125,[0]
6,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.825,22.625,411.025,22.625,11.025,[0]
7,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.6625,24.5625,529.6625,24.5625,49.6625,[0]
8,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.5375,29.375,667.7625,29.375,27.7625,[0]
9,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,1.2125,33.1,825.8125,33.1,25.8125,[0]
