,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,255,0,0,0.9125,0.9125,0.9125,[0],[0],[0],[0],[0],[0],[0],[0]
1,[0],10,5,1,100,80,255,0,1,0.075,0.9875,1.9,[0],[0],[0],[0],[0],[0],[0],[0]
2,[0],10,5,1,100,80,255,0,2,0.975,1.9625,3.8625,[0],[0],[0],[0],[0],[0],[0],[0]
3,[0],10,5,1,100,80,255,0,3,0.45,2.4125,6.275,[0],[0],[0],[0],[0],[0],[0],[0]
4,[0],10,5,1,100,80,255,0,4,0.7625,3.175,9.45,[0],[0],[0],[0],[0],[0],[0],[0]
5,[0],10,5,1,100,80,255,1,0,1.2125,4.3875,13.8375,[0],[0],[0],[0],[0],[0],[0],[0]
6,[0],10,5,1,100,80,255,1,1,0.8875,5.275,19.1125,[0],[0],[0],[0],[0],[0],[0],[0]
7,[0],10,5,1,100,80,255,1,2,1.0,6.275,25.3875,[0],[0],[0],[0],[0],[0],[0],[0]
8,[0],10,5,1,100,80,255,1,3,0.15,6.425,31.8125,[0],[0],[0],[0],[0],[0],[0],[0]
9,[0],10,5,1,100,80,255,1,4,0.175,6.6,38.4125,[0],[0],[0],[0],[0],[0],[0],[0]
10,[0],10,5,1,100,80,255,2,0,0.05,6.65,45.0625,[0],[0],[0],[0],[0],[0],[0],[0]
11,[0],10,5,1,100,80,255,2,1,0.7125,7.3625,52.425,[0],[0],[0],[0],[0],[0],[0],[0]
12,[0],10,5,1,100,80,255,2,2,1.1875,8.55,60.975,[0],[0],[0],[0],[0],[0],[0],[0]
13,[0],10,5,1,100,80,255,2,3,0.0875,8.6375,69.6125,[0],[0],[0],[0],[0],[0],[0],[0]
14,[0],10,5,1,100,80,255,2,4,0.9875,9.625,79.2375,[0],[0],[0],[0],[0],[0],[0],[0]
15,[0],10,5,1,100,80,255,3,0,0.85,10.475,89.7125,[0],[0],[0],[0],[0],[0],[0],[0]
16,[0],10,5,1,100,80,255,3,1,1.225,11.7,101.4125,[0],[0],[0],[0],[0],[0],[0],[0]
17,[0],10,5,1,100,80,255,3,2,0.2125,11.9125,113.325,[0],[0],[0],[0],[0],[0],[0],[0]
18,[0],10,5,1,100,80,255,3,3,0.875,12.7875,126.1125,[0],[0],[0],[0],[0],[0],[0],[0]
19,[0],10,5,1,100,80,255,3,4,0.7375,13.525,139.6375,[0],[0],[0],[0],[0],[0],[0],[0]
20,[0],10,5,1,100,80,255,4,0,0.075,13.6,153.2375,[0],[0],[0],[0],[0],[0],[0],[0]
21,[0],10,5,1,100,80,255,4,1,1.025,14.625,167.8625,[0],[0],[0],[0],[0],[0],[0],[0]
22,[0],10,5,1,100,80,255,4,2,0.3875,15.0125,182.875,[0],[0],[0],[0],[0],[0],[0],[0]
23,[0],10,5,1,100,80,255,4,3,0.925,15.9375,198.8125,[0],[0],[0],[0],[0],[0],[0],[0]
24,[0],10,5,1,100,80,255,4,4,1.2125,17.15,215.9625,[0],[0],[0],[0],[0],[0],[0],[0]
25,[0],10,5,1,100,80,255,5,0,1.2125,18.3625,234.325,[0],[0],[0],[0],[0],[0],[0],[0]
26,[0],10,5,1,100,80,255,5,1,0.9125,19.275,253.6,[0],[0],[0],[0],[0],[0],[0],[0]
27,[0],10,5,1,100,80,255,5,2,1.225,20.5,274.1,[0],[0],[0],[0],[0],[0],[0],[0]
28,[0],10,5,1,100,80,255,5,3,0.35,20.85,294.95,[0],[0],[0],[0],[0],[0],[0],[0]
29,[0],10,5,1,100,80,255,5,4,1.1875,22.0375,316.9875,[0],[0],[0],[0],[0],[0],[0],[0]
30,[0],10,5,1,100,80,255,6,0,0.6875,22.725,339.7125,[0],[0],[0],[0],[0],[0],[0],[0]
31,[0],10,5,1,100,80,255,6,1,1.025,23.75,363.4625,[0],[0],[0],[0],[0],[0],[0],[0]
32,[0],10,5,1,100,80,255,6,2,1.0375,24.7875,388.25,[0],[0],[0],[0],[0],[0],[0],[0]
33,[0],10,5,1,100,80,255,6,3,0.5625,25.35,413.6,[0],[0],[0],[0],[0],[0],[0],[0]
34,[0],10,5,1,100,80,255,6,4,0.725,26.075,439.675,[0],[0],[0],[0],[0],[0],[0],[0]
35,[0],10,5,1,100,80,255,7,0,0.25,26.325,466.0,[0],[0],[0],[0],[0],[0],[0],[0]
36,[0],10,5,1,100,80,255,7,1,0.05,26.375,492.375,[0],[0],[0],[0],[0],[0],[0],[0]
