,INDEX_TestResults,Input_TotalNumTests,Input_TotalNumIts,Input_RNRangeStart,Input_RNRangeEnd,Input_RNRangeDiv,Input_ModDiv,Val_kthTest,Val_nthIt,Val_RN,Val_A,Val_B,PIVOT_FinalVal_kthTest,PIVOT_FinalVal_nthIt,PIVOT_FinalVal_RN,PIVOT_FinalVal_A,PIVOT_FinalVal_B,PIVOT_ModA,PIVOT_ModB,PIVOT_TestResult
0,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.0375,2.175,6.2625,2.175,6.2625,[0]
1,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.0625,4.9625,28.525,4.9625,28.525,[0]
2,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.25,8.4,65.75,8.4,65.75,[0]
3,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.375,11.85,118.8125,11.85,38.8125,[0]
4,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.725,14.3,184.0375,14.3,24.0375,[0]
5,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.675,17.6625,263.825,17.6625,23.825,[0]
6,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.95,20.5875,358.5375,20.5875,38.5375,[0]
7,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.9625,23.9625,471.525,23.9625,71.525,[0]
8,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.425,26.6125,599.0625,26.6125,39.0625,[0]
9,[0],10,5,1,100,80,255,[0],[0],[0],[0],[0],5,10,0.425,29.2125,739.2125,29.2125,19.2125,[0]
